Nodes
0|Akron-Canton Regional-Cleveland, OH (Metropolitan Area)|1087402
1|Albany International-Albany, NY|1025702
2|Albuquerque International Sunport-Albuquerque, NM|1014003
3|Austin - Bergstrom International-Austin, TX|1042302
4|Baltimore/Washington International Thurgood Marshall-Washington, DC (Metropolitan Area)|1082104
5|Bill and Hillary Clinton Nat Adams Field-Little Rock, AR|1299204
6|Birmingham-Shuttlesworth International-Birmingham, AL|1059904
7|Bishop International-Flint, MI|1172103
8|Bob Hope-Los Angeles, CA (Metropolitan Area)|1080003
9|Boise Air Terminal-Boise, ID|1071302
10|Bradley International-Hartford, CT|1052904
11|Buffalo Niagara International-Buffalo, NY|1079204
12|Charleston AFB/International-Charleston, SC|1099402
13|Charlotte Douglas International-Charlotte, NC|1105703
14|Chicago Midway International-Chicago, IL|1323202
15|Cleveland-Hopkins International-Cleveland, OH (Metropolitan Area)|1104203
16|Corpus Christi International-Corpus Christi, TX|1114005
17|Corpus Christi International-Corpus Christi, TX|1114006
18|Dallas Love Field-Dallas/Fort Worth, TX|1125903
19|Denver International-Denver, CO|1129202
20|Des Moines International-Des Moines, IA|1142304
21|Detroit Metro Wayne County-Detroit, MI|1143302
22|El Paso International-El Paso, TX|1154003
23|Eppley Airfield-Omaha, NE|1387102
24|Fort Lauderdale-Hollywood International-Miami, FL (Metropolitan Area)|1169704
25|General Mitchell International-Milwaukee, WI|1334205
26|Gerald R. Ford International-Grand Rapids, MI|1198603
27|Greater Rochester International-Rochester, NY|1457604
28|Greenville-Spartanburg International-Greenville/Spartanburg, SC|1199603
29|Hartsfield-Jackson Atlanta International-Atlanta, GA (Metropolitan Area)|1039705
30|Indianapolis International-Indianapolis, IN|1233904
31|Jacksonville International-Jacksonville, FL|1245102
32|James M Cox/Dayton International-Dayton, OH|1126702
33|John Wayne Airport-Orange County-Los Angeles, CA (Metropolitan Area)|1490803
34|Kansas City International-Kansas City, MO|1319801
35|LaGuardia-New York City, NY (Metropolitan Area)|1295302
36|Lambert-St. Louis International-St. Louis, MO|1501603
37|Logan International-Boston, MA (Metropolitan Area)|1072102
38|Long Beach Airport-Los Angeles, CA (Metropolitan Area)|1295402
39|Long Beach Airport-Los Angeles, CA (Metropolitan Area)|1295403
40|Long Island MacArthur-New York City, NY (Metropolitan Area)|1239102
41|Los Angeles International-Los Angeles, CA (Metropolitan Area)|1289203
42|Los Angeles International-Los Angeles, CA (Metropolitan Area)|1289204
43|Louis Armstrong New Orleans International-New Orleans, LA|1349503
44|Louisville International-Standiford Field-Louisville, KY|1473003
45|Lubbock Preston Smith International-Lubbock, TX|1289605
46|Luis Munoz Marin International-San Juan, PR|1484304
47|Manchester-Boston Regional-Boston, MA (Metropolitan Area)|1329604
48|McCarran International-Las Vegas, NV|1288903
49|Memphis International-Memphis, TN|1324402
50|Metropolitan Oakland International-San Francisco, CA (Metropolitan Area)|1379604
51|Midland International-Midland/Odessa, TX|1315802
52|Minneapolis-St Paul International-Minneapolis/St. Paul, MN|1348702
53|Nashville International-Nashville, TN|1069302
54|Newark Liberty International-New York City, NY (Metropolitan Area)|1161802
55|Norfolk International-Norfolk, VA (Metropolitan Area)|1393102
56|Norman Y. Mineta San Jose International-San Francisco, CA (Metropolitan Area)|1483103
57|Norman Y. Mineta San Jose International-San Francisco, CA (Metropolitan Area)|1483104
58|Northwest Florida Beaches International-Panama City, FL|1148102
59|Ontario International-Los Angeles, CA (Metropolitan Area)|1389101
60|Orlando International-Orlando, FL|1320402
61|Palm Beach International-West Palm Beach/Palm Beach, FL|1402702
62|Pensacola International-Pensacola, FL|1419304
63|Philadelphia International-Philadelphia, PA|1410002
64|Phoenix Sky Harbor International-Phoenix, AZ|1410702
65|Pittsburgh International-Pittsburgh, PA|1412202
66|Port Columbus International-Columbus, OH|1106603
67|Portland International Jetport-Portland, ME|1432103
68|Portland International-Portland, OR|1405702
69|Raleigh-Durham International-Raleigh/Durham, NC|1449202
70|Reno/Tahoe International-Reno, NV|1457002
71|Richmond International-Richmond, VA|1452401
72|Rick Husband Amarillo International-Amarillo, TX|1027903
73|Ronald Reagan Washington National-Washington, DC (Metropolitan Area)|1127803
74|Sacramento International-Sacramento, CA|1489302
75|Salt Lake City International-Salt Lake City, UT|1486903
76|San Antonio International-San Antonio, TX|1468303
77|San Diego International-San Diego, CA|1467903
78|San Francisco International-San Francisco, CA (Metropolitan Area)|1477102
79|Seattle/Tacoma International-Seattle, WA|1474703
80|Southwest Florida International-Fort Myers, FL|1463502
81|Spokane International-Spokane, WA|1188402
82|Tampa International-Tampa, FL (Metropolitan Area)|1530402
83|Theodore Francis Green State-Boston, MA (Metropolitan Area)|1430702
84|Tucson International-Tucson, AZ|1537602
85|Tulsa International-Tulsa, OK|1537002
86|Valley International-Harlingen/San Benito, TX|1220603
87|Washington Dulles International-Washington, DC (Metropolitan Area)|1226402
88|Wichita Dwight D Eisenhower National-Wichita, KS|1227803
89|William P Hobby-Houston, TX|1219102
90|Will Rogers World-Oklahoma City, OK|1385103
Edges
2|1|1960.78787878788|Albuquerque International Sunport|Albuquerque, NM|Albany International|Albany, NY
