Nodes
0|Abraham Lincoln Capital-Springfield, IL|1495203
1|Akron-Canton Regional-Cleveland, OH (Metropolitan Area)|1087402
2|Albany International-Albany, NY|1025702
3|Albuquerque International Sunport-Albuquerque, NM|1014002
4|Albuquerque International Sunport-Albuquerque, NM|1014003
5|Alexandria International-Alexandria, LA|1018502
6|Antonio Rivera Rodriguez-Vieques, PR|1562603
7|Arcata-Eureka/Arcata, CA|1015703
8|Asheville Regional-Asheville, NC|1043102
9|Aspen Pitkin County Sardy Field-Aspen, CO|1037203
10|Atlantic City International-Atlantic City, NJ|1015804
11|Augusta Regional at Bush Field-Augusta, GA|1020803
12|Austin - Bergstrom International-Austin, TX|1042302
13|Austin Straubel International-Green Bay, WI|1197702
14|Baltimore/Washington International Thurgood Marshall-Washington, DC (Metropolitan Area)|1082103
15|Bangor International-Bangor, ME|1058102
16|Barkley Regional-Paducah, KY|1400602
17|Baton Rouge Metropolitan/Ryan Field-Baton Rouge, LA|1078102
18|Benjamin Taisacan Manglona International-Rota, TT|1458207
19|Bill and Hillary Clinton Nat Adams Field-Little Rock, AR|1299204
20|Billings Logan International-Billings, MT|1062002
21|Birmingham-Shuttlesworth International-Birmingham, AL|1059904
22|Bishop International-Flint, MI|1172102
23|Bismarck Municipal-Bismarck/Mandan, ND|1062702
24|Blue Grass-Lexington, KY|1294503
25|Bob Hope-Los Angeles, CA (Metropolitan Area)|1080003
26|Boise Air Terminal-Boise, ID|1071302
27|Bozeman Yellowstone International-Bozeman, MT|1084903
28|Bradley International-Hartford, CT|1052904
29|Brownsville South Padre Island International-Brownsville, TX|1074702
30|Buffalo Niagara International-Buffalo, NY|1079204
31|Burlington International-Burlington, VT|1078502
32|Capital Region International-Lansing, MI|1288403
33|Casper/Natrona County International-Casper, WY|1112202
34|Casper/Natrona County International-Casper, WY|1112203
35|Central Wisconsin-Wausau/Mosinee/Stevens Point, WI|1120302
36|Charleston AFB/International-Charleston, SC|1099402
37|Charlotte Douglas International-Charlotte, NC|1105703
38|Charlottesville Albemarle-Charlottesville, VA|1099002
39|Chautauqua County/Jamestown-Jamestown, NY|1249402
40|Cherry Capital-Traverse City, MI|1538003
41|Cheyenne Regional/Jerry Olson Field-Cheyenne, WY|1123302
42|Chicago O'Hare International-Chicago, IL|1393003
43|Chico Municipal-Chico, CA|1100202
44|Chippewa Valley Regional-Eau Claire, WI|1147103
45|Cincinnati/Northern Kentucky International-Cincinnati, OH|1119302
46|City of Colorado Springs Municipal-Colorado Springs, CO|1110902
47|Cleveland-Hopkins International-Cleveland, OH (Metropolitan Area)|1104202
48|Cleveland-Hopkins International-Cleveland, OH (Metropolitan Area)|1104203
49|Columbia Metropolitan-Columbia, SC|1086803
50|Corpus Christi International-Corpus Christi, TX|1114004
51|Cortez Municipal-Cortez, CO|1095002
52|Cyril E King-Charlotte Amalie, VI|1502403
53|Dallas/Fort Worth International-Dallas/Fort Worth, TX|1129803
54|Dallas Love Field-Dallas/Fort Worth, TX|1125903
55|Dane County Regional-Truax Field-Madison, WI|1348502
56|Denver International-Denver, CO|1129202
57|Des Moines International-Des Moines, IA|1142303
58|Detroit Metro Wayne County-Detroit, MI|1143302
59|Devils Lake Regional-Devils Lake, ND|1144703
60|Dickinson - Theodore Roosevelt Regional-Dickinson, ND|1131502
61|Dodge City Regional-Dodge City, KS|1128302
62|DuBois Regional-DuBois, PA|1144102
63|Duluth International-Duluth, MN|1133703
64|Durango La Plata County-Durango, CO|1141303
65|Eagle County Regional-Eagle, CO|1150303
66|Easterwood Field-College Station/Bryan, TX|1104902
67|Elmira/Corning Regional-Elmira/Corning, NY|1153703
68|El Paso International-El Paso, TX|1154003
69|Eppley Airfield-Omaha, NE|1387102
70|Erie International/Tom Ridge Field-Erie, PA|1157704
71|Fairbanks International-Fairbanks, AK|1163002
72|Fayetteville Regional/Grannis Field-Fayetteville, NC|1164102
73|Forbes Field-Topeka, KS|1172602
74|Fort Lauderdale-Hollywood International-Miami, FL (Metropolitan Area)|1169703
75|Fort Wayne International-Fort Wayne, IN|1182304
76|Four Corners Regional-Farmington, NM|1171102
77|Francisco C. Ada Saipan International-Saipan, TT|1495503
78|Fresno Yosemite International-Fresno, CA|1163805
79|Friedman Memorial-Sun Valley/Hailey/Ketchum, ID|1504102
80|Gainesville Regional-Gainesville, FL|1195302
81|General Downing - Peoria International-Peoria, IL|1410803
82|General Mitchell International-Milwaukee, WI|1334205
83|George Bush Intercontinental/Houston-Houston, TX|1226603
84|Gerald R. Ford International-Grand Rapids, MI|1198603
85|Gillette Campbell County-Gillette, WY|1186502
